	taxa	sample	mean	se	V1	V2	V3	V4	Time
679	log_EC_rel_mean	C2-G1-NA-TP12	4.96327344966667	0.194187812770979	C2	G1	T1	TP12	12
680	log_KP_rel_mean	C2-G1-NA-TP12	5.04005558733333	0.158222869882363	C2	G1	T1	TP12	12
691	log_CI_rel_mean	C2-G1-NA-TP24	3.234437878	0.521032994099136	C2	G1	T1	TP24	24
692	log_Lac_rel_mean	C2-G1-NA-TP24	0.899402461666667	0.846423421866538	C2	G1	T1	TP24	24
693	log_EF_rel_mean	C2-G1-NA-TP24	0	0	C2	G1	T1	TP24	24
694	log_EC_rel_mean	C2-G1-NA-TP24	4.97076529566667	0.150139886994878	C2	G1	T1	TP24	24
695	log_KP_rel_mean	C2-G1-NA-TP24	5.18092185	0.217608637673094	C2	G1	T1	TP24	24
706	log_CI_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1
707	log_Lac_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1
708	log_EF_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1
709	log_EC_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1
710	log_KP_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1
721	log_CI_rel_mean	C2-G2-T1-TP3	0.0388736393333333	0.0194807947171735	C2	G2	T1	TP3	27
722	log_Lac_rel_mean	C2-G2-T1-TP3	0.00702749666666667	0.00448138900248607	C2	G2	T1	TP3	27
723	log_EF_rel_mean	C2-G2-T1-TP3	0	0	C2	G2	T1	TP3	27
724	log_EC_rel_mean	C2-G2-T1-TP3	0.547729797333333	0.544870479531057	C2	G2	T1	TP3	27
725	log_KP_rel_mean	C2-G2-T1-TP3	2.83282652033333	1.4207713311035	C2	G2	T1	TP3	27
736	log_CI_rel_mean	C2-G2-T1-TP6	0.400102695	0.124753082734052	C2	G2	T1	TP6	30
737	log_Lac_rel_mean	C2-G2-T1-TP6	0.069675344	0.0422562550706135	C2	G2	T1	TP6	30
738	log_EF_rel_mean	C2-G2-T1-TP6	0	0	C2	G2	T1	TP6	30
739	log_EC_rel_mean	C2-G2-T1-TP6	3.683256845	0.516885721875447	C2	G2	T1	TP6	30
740	log_KP_rel_mean	C2-G2-T1-TP6	5.47747095433333	0.113454343855858	C2	G2	T1	TP6	30
751	log_CI_rel_mean	C2-G2-T1-TP12	1.089040695	0.825394866098117	C2	G2	T1	TP12	36
752	log_Lac_rel_mean	C2-G2-T1-TP12	0.0285541403333333	0.00608321646508507	C2	G2	T1	TP12	36
753	log_EF_rel_mean	C2-G2-T1-TP12	0	0	C2	G2	T1	TP12	36
754	log_EC_rel_mean	C2-G2-T1-TP12	4.05438758433333	0.494669242644815	C2	G2	T1	TP12	36
